,Battery,SM1,SM2
2016-04-01 00:00:00,,,29.3157
2016-04-01 00:05:48,3573.0,32.685,
2016-04-01 00:15:00,,,29.3157
2016-04-01 00:20:42,3572.0,32.7428,
2016-04-01 00:30:00,,,29.3679
2016-04-01 00:35:37,3572.0,32.6186,
2016-04-01 00:45:00,,,29.3679
2016-04-01 00:50:32,3572.0,32.736999999999995,
2016-04-01 01:00:00,,,29.3131
2016-04-01 01:05:26,3572.0,32.736999999999995,
2016-04-01 01:15:00,,,29.3157
2016-04-01 01:20:21,3571.0,32.6186,
2016-04-01 01:30:00,,,29.3157
2016-04-01 01:35:16,3571.0,32.736999999999995,
2016-04-01 01:45:00,,,29.4727
2016-04-01 01:50:11,3571.0,32.736999999999995,
2016-04-01 02:00:00,,,29.5252
2016-04-01 02:05:05,3571.0,32.6186,
2016-04-01 02:15:00,,,29.5252
2016-04-01 02:20:00,3571.0,32.911,
2016-04-01 02:30:00,,,29.5226
2016-04-01 02:34:55,3570.0,32.85,
2016-04-01 02:45:00,,,29.4727
2016-04-01 02:49:49,3570.0,32.911,
2016-04-01 03:00:00,,,29.5252
2016-04-01 03:04:44,3570.0,32.9081,
2016-04-01 03:15:00,,,29.5252
2016-04-01 03:19:39,3569.0,32.8993,
2016-04-01 03:30:00,,,29.4176
2016-04-01 03:34:33,3569.0,32.9023,
2016-04-01 03:45:00,,,29.5252
2016-04-01 03:49:28,3568.0,32.7861,
2016-04-01 04:00:00,,,29.5252
2016-04-01 04:04:23,3568.0,32.9023,
2016-04-01 04:15:00,,,29.4727
2016-04-01 04:19:17,3568.0,33.013000000000005,
2016-04-01 04:30:00,,,29.5252
2016-04-01 04:34:12,3568.0,32.9023,
2016-04-01 04:45:00,,,29.5252
2016-04-01 04:49:07,3567.0,32.8993,
2016-04-01 05:00:00,,,29.5252
2016-04-01 05:04:01,3567.0,32.9023,
2016-04-01 05:15:00,,,29.4727
2016-04-01 05:18:56,3566.0,32.9023,
2016-04-01 05:30:00,,,29.5252
2016-04-01 05:33:50,3567.0,32.7861,
2016-04-01 05:45:00,,,29.5252
2016-04-01 05:48:45,3566.0,32.8993,
2016-04-01 06:00:00,,,29.4727
2016-04-01 06:03:39,3566.0,32.8993,
2016-04-01 06:15:00,,,29.5252
2016-04-01 06:18:34,3566.0,32.8935,
2016-04-01 06:30:00,,,29.4727
2016-04-01 06:33:28,3565.0,32.7774,
2016-04-01 06:45:00,,,29.4727
2016-04-01 06:48:22,3565.0,32.8935,
2016-04-01 07:00:00,,,29.5252
2016-04-01 07:03:17,3565.0,32.8935,
2016-04-01 07:15:00,,,29.4727
2016-04-01 07:18:11,3565.0,32.8935,
