Timestamp,maint
2016-01-10 11:15:00,2016-01-10 12:15:00
2016-01-12 14:40:00,2016-01-12 15:30:00
2016-02-10 13:40:00,2016-02-10 14:40:00
2016-02-24 16:40:00,2016-02-24 17:30:00
2016-03-08 09:30:00,2016-03-08 10:30:00
2016-03-15 12:00:00,2016-03-15 16:30:00
2016-03-21 11:00:00,2016-03-21 14:00:00
2016-04-05 07:00:00,2016-04-05 07:55:00
2016-05-02 15:30:00,2016-05-02 16:30:00
2016-05-03 15:25:00,2016-05-03 16:35:00
2016-05-31 07:00:00,2016-05-31 08:25:00
2016-06-02 13:00:00,2016-06-02 15:50:00
2016-06-28 07:30:00,2016-06-28 08:45:00
2016-06-28 09:30:00,2016-06-28 10:30:00
2016-07-25 08:45:00,2016-07-25 10:00:00
2016-08-22 08:15:00,2016-08-22 09:20:00
2016-09-20 07:00:00,2016-09-20 09:15:00
2016-10-25 08:15:00,2016-10-25 09:50:00
2016-11-08 09:40:00,2016-11-08 11:50:00
2016-11-14 09:35:00,2016-11-14 10:40:00
2016-12-13 15:05:00,2016-12-13 16:50:00
2017-01-10 08:05:00,2017-01-10 09:15:00
2017-02-06 09:20:00,2017-02-06 11:00:00
2017-03-07 08:40:00,2017-03-07 09:40:00
2017-04-05 07:50:00,2017-04-05 09:20:00
2017-04-12 07:30:00,2017-04-12 09:45:00
2017-05-02 13:20:00,2017-05-02 13:30:00
2017-05-30 07:20:00,2017-05-30 08:30:00
2017-06-14 08:25:00,2017-06-14 09:30:00
2017-06-27 07:30:00,2017-06-27 08:40:00
2017-07-24 08:00:00,2017-07-24 09:00:00
2017-09-20 14:00:00,2017-09-20 14:35:00
2017-10-17 08:55:00,2017-10-17 10:20:00
2017-11-14 15:30:00,2017-11-14 16:20:00
2017-11-27 09:10:00,2017-11-27 10:10:00
2017-12-12 14:10:00,2017-12-12 14:50:00
