,incidents
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,1
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,5
2020-03-07,10
2020-03-08,8
2020-03-09,8
2020-03-10,20
2020-03-11,27
2020-03-12,24
2020-03-13,34
2020-03-14,32
2020-03-15,25
2020-03-16,45
2020-03-17,21
2020-03-18,23
2020-03-19,16
2020-03-20,28
2020-03-21,29
2020-03-22,22
2020-03-23,17
2020-03-24,12
2020-03-25,14
2020-03-26,9
2020-03-27,10
2020-03-28,12
2020-03-29,4
2020-03-30,16
2020-03-31,11
2020-04-01,5
2020-04-02,7
2020-04-03,10
2020-04-04,9
2020-04-05,11
2020-04-06,5
2020-04-07,10
2020-04-08,7
2020-04-09,2
2020-04-10,2
2020-04-11,6
2020-04-12,5
2020-04-13,1
2020-04-14,4
2020-04-15,6
2020-04-16,5
2020-04-17,2
2020-04-18,3
2020-04-19,3
2020-04-20,1
2020-04-21,4
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,2
2020-04-26,0
2020-04-27,1
2020-04-28,0
2020-04-29,0
2020-04-30,2
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,1
2020-05-05,0
2020-05-06,2
2020-05-07,0
2020-05-08,0
2020-05-09,1
2020-05-10,4
